asset_description,asset_abbreviation,dbo_entity_type,can_be_connected,ifc_class,ifc_type,ifc_version,IFC2x3,IFC4.3
electric protective device - sectionalizer switch,SCS,,0,IfcSwitchingDevice,SELECTORSWITCH,"4x1,4.3",IfcSwitchingDeviceType.USERDEFINED,IfcSwitchingDeviceType.SELECTORSWITCH
electric protective device - surge protection,SPD,,0,IfcProtectiveDevice,VARISTOR,"2x3,4x1,4.3",IfcProtectiveDeviceType.VARISTOR,IfcProtectiveDeviceType.VARISTOR
electrochromic glass,ECG,,0,IfcWindow,NOTDEFINED,"4x1,4.3,4x1,4.3,4x1,4.3,4x1,4.3,4x1,4.3","IfcWindowStyle.USERDEFINED,IfcWindowStyle.NOTDEFINED","IfcWindowType.NOTDEFINED,IfcWindowType.USERDEFINED,IfcWindowType.WINDOW,IfcWindowType.SKYLIGHT,IfcWindowType.LIGHTDOME"
electronic key cabinet,EKC,,1,IfcFurniture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED"
emergency assistance - disabled wc control panel,DWCCP,,1,IfcController,PROGRAMMABLE,"4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.PROGRAMMABLE
emergency assistance - disabled wc overdoor indicator,DWCOI,,1,IfcAlarm,LIGHT,"2x3,4x1,4.3",IfcAlarmType.LIGHT,IfcAlarmType.LIGHT
emergency assistance - disabled wc pull cord,DWCPC,,1,IfcAlarm,MANUALPULLBOX,"2x3,4x1,4.3",IfcAlarmType.MANUALPULLBOX,IfcAlarmType.MANUALPULLBOX
emergency assistance - disabled wc reset button,DWCRB,,1,IfcController,TWOPOSITION,"2x3,4x1,4.3",IfcControllerType.TWOPOSITION,IfcControllerType.TWOPOSITION
emergency voice communication - control panel,EVCCP,,1,IfcAudioVisualAppliance,COMMUNICATIONTERMINAL,4.3,IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.COMMUNICATIONTERMINAL
emergency voice communication - outstation,EVCO,,1,IfcAudioVisualAppliance,RECEIVER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.RECEIVER
emergency voice communication - outstation disabled refuge,DRO,,1,IfcAudioVisualAppliance,RECEIVER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.RECEIVER
emergency voice communication - outstation emergency telephone,ETO,,1,IfcAudioVisualAppliance,RECEIVER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.RECEIVER
emergency voice communication - outstation fire telephone,FTO,,1,IfcAudioVisualAppliance,RECEIVER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.RECEIVER
emergency voice communication - repeater unit,EVCRU,,1,IfcAudioVisualAppliance,SWITCHER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.SWITCHER
emergency voice communication - voice alarm microphones,VAM,,1,IfcAudioVisualAppliance,MICROPHONE,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.MICROPHONE
emergency voice communication - voice alarm speaker,VAS,,1,IfcAudioVisualAppliance,SPEAKER,"4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcAudioVisualApplianceType.SPEAKER
employee timeclock with fingerprint scanner,ETCFP,,1,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
evaporator,EVP,,1,IfcEvaporator,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcEvaporatorType.NOTDEFINED,IfcEvaporatorType.USERDEFINED","IfcEvaporatorType.NOTDEFINED,IfcEvaporatorType.USERDEFINED"
fan,FAN,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - cooling tower fan,CTF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - elevator / lift well pressurization fan,ELVPF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - exhaust fan,EF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - fume hood exhaust fan,FHEX,HVAC/FAN,1,IfcDamper,FUMEHOODEXHAUST,"2x3,4x1,4.3",IfcDamperType.FUMEHOODEXHAUST,IfcDamperType.FUMEHOODEXHAUST
fan - garage / car park supply fan,GSF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - garage / car park transfer fan,GTF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - kitchen exhaust fan,KEF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - mechanical extract ventilation,MEV,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - pressurization fan,PF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - relief fan,RLF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - return fan,RTF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - smoke exhaust fan,SEF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - stairwell pressurization fan,SPF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - supply fan,SF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - toilet extract fan,TEF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan - transfer fan,TF,HVAC/FAN,1,IfcFan,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED","IfcFanType.USERDEFINED,IfcFanType.NOTDEFINED"
fan coil unit,FCU,HVAC/FCU,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
filter,FLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - air and dirt separator,ADS,,1,IfcFlowTreatmentDevice,NOTDEFINED,"4.3,2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcElectricFlowTreatmentDeviceType.USERDEFINED,IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - air purifier unit,APU,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - air separator,AS,,1,IfcFlowTreatmentDevice,NOTDEFINED,4.3,IfcFilterType.AIRPARTICLEFILTER,IfcElectricFlowTreatmentDeviceType.USERDEFINED
filter - air washer unit,AWSH,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - bag filter,BFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - carbon filter,CFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - cooling tower filtration unit,CTFS,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
filter - cooling tower filtration unit,CTFU,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3",IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.NOTDEFINED
filter - cooling tower sand filter,CTSFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - cooling tower separator,CTSEP,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - cooling tower separator / sand separator,CTSSEP,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - degasser filter,DGA,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - dirt separator,DTS,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - exhaust dry scrubber unit,DSU,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - panel filter,PFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - pollution control unit,PCU,,1,IfcFilter,AIRPARTICLEFILTER,"2x3,4x1,4.3",IfcFilterType.AIRPARTICLEFILTER,IfcFilterType.AIRPARTICLEFILTER
filter - process filtration unit,PFU,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
filter - reverse osmosis system,RO,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - side stream water filters,SSFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - vacuum system filter,VSFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - water - reverse rinsing filter,RRFLT,,1,IfcFilter,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED","IfcFilterType.USERDEFINED,IfcFilterType.NOTDEFINED"
filter - water conditioner,WCR,,1,IfcFilter,WATERFILTER,"2x3,4x1,4.3",IfcFilterType.WATERFILTER,IfcFilterType.WATERFILTER
filter - water softener,WSR,,1,IfcFilter,WATERFILTER,"2x3,4x1,4.3",IfcFilterType.WATERFILTER,IfcFilterType.WATERFILTER
fire detection - alarm annunciator sounder or beacon,FAS,,1,IfcAlarm,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcAlarmType.NOTDEFINED,IfcAlarmType.USERDEFINED","IfcAlarmType.NOTDEFINED,IfcAlarmType.USERDEFINED"
fire detection - aspirating smoke detector,ASD,SAFETY/SD,1,IfcSensor,SMOKESENSOR,"2x3,4x1,4.3",IfcSensorType.SMOKESENSOR,IfcSensorType.SMOKESENSOR
fire detection - break glass unit,BGU,SAFETY/BGU,1,IfcAlarm,BREAKGLASSBUTTON,"2x3,4x1,4.3",IfcAlarmType.BREAKGLASSBUTTON,IfcAlarmType.BREAKGLASSBUTTON
fire detection - control and indication equipment,CIE,,1,IfcUnitaryControlElement,INDICATORPANEL,"4x1,4.3",IfcElectricDistributionPoint.USERDEFINED,IfcUnitaryControlElementType.INDICATORPANEL
fire detection - gas detector,GD,SENSOR,1,IfcSensor,GASSENSOR,"2x3,4x1,4.3",IfcSensorType.GASSENSOR,IfcSensorType.GASSENSOR
fire detection - heat detector,HD,SENSOR,1,IfcSensor,HEATSENSOR,"2x3,4x1,4.3",IfcSensorType.HEATSENSOR,IfcSensorType.HEATSENSOR
fire detection - hydrogen detector,HDS,,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
fire detection - input output interface unit,IFU,,1,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
fire detection - smoke detector,SD,SAFETY/SD,1,IfcSensor,SMOKESENSOR,"2x3,4x1,4.3",IfcSensorType.SMOKESENSOR,IfcSensorType.SMOKESENSOR
fire suppression - fire jockey pump,FJP,,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
fire suppression - fire pump,FP,,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
fire suppression - fire pump control panel,FPCP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
fire suppression - firemans override switch,FMO,,0,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
fire suppression - gas suppression control panel,GSCP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
fire suppression - gas suppression head,GSH,,0,IfcFireSuppressionTerminal,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFireSuppressionTerminalType.NOTDEFINED,IfcFireSuppressionTerminalType.USERDEFINED","IfcFireSuppressionTerminalType.NOTDEFINED,IfcFireSuppressionTerminalType.USERDEFINED"
fire suppression - hose reel terminal,KHRL,,0,IfcFireSuppressionTerminal,HOSEREEL,"2x3,4x1,4.3",IfcFireSuppressionTerminalType.HOSEREEL,IfcFireSuppressionTerminalType.HOSEREEL
fire suppression - kitchen fire suppression system,KFSS,,1,IfcDistributionSystem,FIREPROTECTION,,,
fire suppression - sprinkler alarm bell,FB,,1,IfcAlarm,BELL,"2x3,4x1,4.3",IfcAlarmType.BELL,IfcAlarmType.BELL
fire suppression - sprinkler flow switch,FS,,1,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
fire suppression - sprinkler head terminal,SPH,,1,IfcFireSuppressionTerminal,SPRINKLER,"2x3,4x1,4.3",IfcFireSuppressionTerminalType.SPRINKLER,IfcFireSuppressionTerminalType.SPRINKLER
fire suppression - sprinkler isolation valve,SISV,,1,IfcValve,ISOLATING,"2x3,4x1,4.3",IfcValveType.ISOLATING,IfcValveType.ISOLATING
fire suppression - system gas release panel,FSS,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
fire suppression - vaporizer panel,VP,,1,IfcUnitaryControlElement,CONTROLPANEL,"4x1,4.3",IfcElectricDistributionPoint.CONTROLPANEL,IfcUnitaryControlElementType.CONTROLPANEL
food serving - cold plate,FSCPL,,0,IfcFlowTerminal,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - cold well,FSCWL,,0,IfcFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - heat lamp,FSHL,,0,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
food serving - hot and cold plate,FSHCPL,,0,IfcFlowTerminal,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - hot and cold well,FSHCWL,,0,IfcFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - hot plate,FSHPL,,0,IfcFlowTerminal,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - hot well,FSHWL,,0,IfcFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - ice cream display,FSICD,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - ice well,FSIWL,,0,IfcFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - induction warmer,FSIW,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
food serving - sneeze guard,FSSG,,0,IfcFurniture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED"
food serving - soup well,FSSWL,,0,IfcFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
furniture - chemical storage cabinet,CSC,,0,IfcFurniture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED"
furniture - commercial kitchen mobile soak sink,KSINKM,,0,IfcSanitaryTerminal,SINK,"2x3,4x1,4.3",IfcSanitaryTerminalType.SINK,IfcSanitaryTerminalType.SINK
furniture - commercial kitchen sink,KSINK,,0,IfcSanitaryTerminal,SINK,"2x3,4x1,4.3",IfcSanitaryTerminalType.SINK,IfcSanitaryTerminalType.SINK
furniture - commercial kitchen storage cabinet,KSTC,,0,IfcFurniture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED"
furniture - commercial kitchen storage cabinet heated,KSTCH,,0,IfcFlowStorageDevice,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
furniture - commercial kitchen table,KTBL,,0,IfcFurniture,TABLE,"4x1,4.3",IfcFurnitureType.USERDEFINED,IfcFurnitureType.SHELF
furniture - commercial kitchen trolley/cart,KCART,,0,IfcFurniture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED"
furniture - commercial kitchen utlity distribution system,KUDS,,0,IfcDistributionSystem,NOTDEFINED,,,
furniture - commercial kitchen wall mounted glass rack,KWMGR,,0,IfcFurniture,SHELF,"4x1,4.3",IfcFurnitureType.USERDEFINED,IfcFurnitureType.SHELF
furniture - commercial kithcen utility chase system,KUCS,,0,IfcDistributionSystem,NOTDEFINED,,,
furniture - desk,DESK,,0,IfcFurniture,DESK,"4x1,4.3",IfcFurnitureType.USERDEFINED,IfcFurnitureType.DESK
furniture - emergency eyewash station,EEW,,0,IfcSanitaryTerminal,SANITARYFOUNTAIN,"2x3,4x1,4.3",IfcSanitaryTerminalType.SANITARYFOUNTAIN,IfcSanitaryTerminalType.SANITARYFOUNTAIN
furniture - locker,LCKR,,1,IfcFurniture,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED","IfcFurnitureType.NOTDEFINED,IfcFurnitureType.USERDEFINED"
generator - clean steam generator,CSG,,1,IfcElectricGenerator,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcElectricGeneratorType.USERDEFINED,IfcElectricGeneratorType.NOTDEFINED","IfcElectricGeneratorType.USERDEFINED,IfcElectricGeneratorType.NOTDEFINED"
generator - combined heat and power generator,CHP,,1,IfcElectricGenerator,CHP,"4x1,4.3","IfcElectricGeneratorType.USERDEFINED,IfcElectricGeneratorType.NOTDEFINED",IfcElectricGeneratorType.CHP
generator - diesel electricity generator,DG,,1,IfcElectricGenerator,ENGINEGENERATOR,"4x1,4.3","IfcElectricGeneratorType.USERDEFINED,IfcElectricGeneratorType.NOTDEFINED",IfcElectricGeneratorType.ENGINEGENERATOR
generator - electricity generator,GEN,,1,IfcElectricGenerator,ENGINEGENERATOR,"4x1,4.3","IfcElectricGeneratorType.USERDEFINED,IfcElectricGeneratorType.NOTDEFINED",IfcElectricGeneratorType.ENGINEGENERATOR
grease waste interceptor,GI,,0,IfcInterceptor,GREASE,"4x1,4.3",IfcWasteTerminalType.GREASEINTERCEPTOR,IfcInterceptorType.GREASE
heat emitter - duct heater,DH,HVAC/DH,1,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - electric unit heater,EUH,HVAC/UH,1,ifcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - gas unit heater,GUH,HVAC/UH,1,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - heater,HTR,,1,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - hydronic trench convector,TC,,1,IfcSpaceHeater,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED","IfcSpaceHeaterType.NOTDEFINED,IfcSpaceHeaterType.USERDEFINED"
heat emitter - radiant panel,RP,HVAC/RP,1,ifcSpaceHeater,RADIATOR,"4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED",IfcSpaceHeaterType.RADIATOR
heat emitter - radiator,RAD,,1,IfcSpaceHeater,RADIATOR,"4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED",IfcSpaceHeaterType.RADIATOR
heat emitter - radiator electric,ERAD,,1,IfcSpaceHeater,RADIATOR,"4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED",IfcSpaceHeaterType.RADIATOR
